unit,score_mean,score_std,label,redundant_with,n_runs,reason,text
0,0.0,0.0,neutral,,3,"Title only, no actionable guidance.",# Spreadsheet Manipulation Skill (xlsx)
1,0.0,0.0,neutral,,3,Section header with no content.,## Overview
2,0.0,0.0,neutral,,3,Restates task context without actionable detail.,This skill guides agents in manipulating Excel (.xlsx) spreadsheets using Python
3,1.0,0.0,useful,,3,"Specifies correct libraries and forbids others, helpful constraint.","**Primary libraries**: `openpyxl` (structure-preserving read/write), `pandas` (d"
4,0.0,0.0,neutral,,3,"Horizontal separator, no effect.",---
5,0.0,0.0,neutral,,3,Section header only.,## Common Workflow
6,1.0,0.0,useful,,3,Encourages exploration of file structure before editing.,"1. **Explore** the input file: list sheets, inspect headers, check dimensions."
7,1.667,0.471,essential,,3,Directs inspecting example/output tabs which are crucial for correct answers.,"- Inspect actual workbook data beyond the preview, including nearby rows/columns"
8,1.0,0.0,useful,,3,Treats filled cells as format examples but still recomputes full range.,- Treat existing filled cells in the requested output area or adjacent example t
9,1.0,0.0,useful,,3,"Warns against assuming tables start at row 1, avoiding coordinate errors.","- Scan the used range for complete header groups, not just row 1. Tables may sta"
10,1.0,0.0,useful,,3,Header-based location prevents brittle fixed-coordinate mistakes.,"- Locate tables, fields, and target ranges by header text, nearby labels, and su"
11,1.0,0.0,useful,,3,Establishes basic script structure with paths.,2. **Write `solution.py`** with `INPUT_PATH` and `OUTPUT_PATH` defined at the to
12,1.0,0.0,useful,,3,Reminds to execute and verify output file creation.,3. **Execute** `python solution.py` and verify the output file was created.
13,1.0,0.0,useful,,3,Encourages verifying target values.,4. **Confirm** the target cells/range contain the expected values.
14,0.0,0.0,neutral,,3,Separator only.,---
15,0.0,0.0,neutral,,3,Section header only.,## Library Selection
16,1.0,0.0,useful,,3,Table guides library choice per use case.,"| Use case | Library | |----------|---------| | Preserve formulas, formatting, n"
17,2.0,0.0,essential,,3,"Critical warning that pandas destroys formulas, preventing common failure.",**Warning**: `pandas.to_excel()` silently destroys existing formulas and named r
18,2.0,0.0,essential,,3,Key guidance to compute values and use data_only for cached formula results.,**Formula evaluation caution**: `openpyxl` can write formulas but does **not** c
19,1.0,0.0,useful,18,3,Code snippet illustrating dual-workbook loading pattern.,```python wb = openpyxl.load_workbook(INPUT_PATH) wb_values = openpyxl.load_work
20,2.0,0.0,essential,,3,Crucial that formula/VBA wording means implement logic and write values.,"Treat wording such as “write/fix a formula,” “SUMIFS/COUNTIFS,” “VBA,” or “macro"
21,1.0,0.0,useful,20,3,"Use given formulas as spec for ranges/criteria, then write values.","When the user provides an existing or broken formula, use it as a semantic speci"
22,0.0,0.0,neutral,,3,Separator only.,---
23,0.0,0.0,neutral,,3,Section header only.,## solution.py Template
24,1.0,0.0,useful,,3,Provides starting import template.,```python import openpyxl import pandas as pd
25,1.0,0.0,useful,11,3,Reinforces defining input/output paths at top.,"INPUT_PATH = ""..."" # set to the actual input path OUTPUT_PATH = ""..."" # set to t"
26,1.0,0.0,useful,,3,Shows loading workbook and selecting sheet.,"wb = openpyxl.load_workbook(INPUT_PATH) ws = wb.active # or wb[""SheetName""]"
27,0.0,0.0,neutral,,3,Placeholder comment with no content.,# --- perform manipulation ---
