unit,score_mean,score_std,label,redundant_with,n_runs,reason,text
0,0.0,0.0,neutral,,3,"Title header, no actionable content.",# Spreadsheet Manipulation Skill (xlsx)
1,0.0,0.0,neutral,,3,Section header filler.,## Overview
2,0.0,0.0,neutral,,3,Restates the obvious purpose.,This skill guides agents in manipulating Excel (.xlsx) spreadsheets using Python
3,1.0,0.0,useful,,3,Constrains libraries usefully to avoid unavailable dependencies.,"**Primary libraries**: `openpyxl` (structure-preserving read/write), `pandas` (d"
4,0.0,0.0,neutral,,3,Horizontal rule separator.,---
5,0.0,0.0,neutral,,3,Section header only.,## Common Workflow
6,1.0,0.0,useful,,3,Basic exploration step is helpful.,"1. **Explore** the input file: list sheets, inspect headers, check dimensions."
7,2.0,0.0,essential,,3,Inspecting example/output tabs is crucial for correct format inference.,"- Inspect actual workbook data beyond the preview, including nearby rows/columns"
8,1.333,0.471,useful,,3,Guides using existing cells as examples while recomputing all targets.,- Treat existing filled cells in the requested output area or adjacent example t
9,1.0,0.0,useful,,3,"Warns tables may not start at row 1, avoiding common errors.","- Scan the used range for complete header groups, not just row 1. Tables may sta"
10,2.0,0.0,essential,,3,Locating by header text not fixed coords is core to robustness.,"- Locate tables, fields, and target ranges by header text, nearby labels, and su"
11,1.0,0.0,useful,,3,Standard scaffolding instruction for paths.,2. **Write `solution.py`** with `INPUT_PATH` and `OUTPUT_PATH` defined at the to
12,1.0,0.0,useful,,3,Reminds to execute and verify creation.,3. **Execute** `python solution.py` and verify the output file was created.
13,1.0,0.0,useful,,3,Confirm target values step reinforces correctness.,4. **Confirm** the target cells/range contain the expected values.
14,0.0,0.0,neutral,,3,Separator.,---
15,0.0,0.0,neutral,,3,Section header.,## Library Selection
16,1.0,0.0,useful,,3,Library selection table helps choose right tool.,"| Use case | Library | |----------|---------| | Preserve formulas, formatting, n"
17,2.0,0.0,essential,,3,Critical warning preventing formula/format destruction by pandas.,**Warning**: `pandas.to_excel()` silently destroys existing formulas and named r
18,2.0,0.0,essential,,3,data_only pattern for reading cached values is key technique.,**Formula evaluation caution**: `openpyxl` can write formulas but does **not** c
19,1.0,0.0,useful,18,3,Code example illustrating unit 18's dual-workbook pattern.,```python wb = openpyxl.load_workbook(INPUT_PATH) wb_values = openpyxl.load_work
20,2.0,0.0,essential,,3,Key guidance to compute values instead of live formulas for verification.,"Treat wording such as “write/fix a formula,” “SUMIFS/COUNTIFS,” “VBA,” or “macro"
21,1.0,0.0,useful,20,3,"Use given formula as spec, honoring referenced ranges.","When the user provides an existing or broken formula, use it as a semantic speci"
22,0.0,0.0,neutral,,3,Separator.,---
23,0.0,0.0,neutral,,3,Section header.,## solution.py Template
24,1.0,0.0,useful,,3,Template imports help start correctly.,```python import openpyxl import pandas as pd
25,1.0,0.0,useful,11,3,"Path setup template, overlaps with unit 11.","INPUT_PATH = ""..."" # set to the actual input path OUTPUT_PATH = ""..."" # set to t"
26,1.0,0.0,useful,,3,Shows loading and active sheet selection.,"wb = openpyxl.load_workbook(INPUT_PATH) ws = wb.active # or wb[""SheetName""]"
27,0.0,0.0,neutral,,3,Placeholder comment.,# --- perform manipulation ---
28,1.0,0.0,useful,,3,Reminds to save output.,wb.save(OUTPUT_PATH) ```
29,0.0,0.0,neutral,,3,Separator.,---
30,0.0,0.0,neutral,,3,Section header.,## Output Requirements
31,1.0,0.0,useful,28,3,"Save requirement, overlaps template.",- Save the result to `OUTPUT_PATH`.
32,1.667,0.471,essential,,3,No hardcoding rows/cols prevents brittle failures.,- Do not hardcode row counts or column letters — iterate over actual rows in the
33,2.0,0.0,essential,,3,Preserving unrelated cells is a graded requirement.,- Preserve sheets and cells not mentioned in the instruction.
34,0.0,0.0,neutral,,3,Section header.,## Matching and Target Range Hygiene
35,2.0,0.0,essential,,3,Choosing correct match operator directly affects correctness.,- Choose the comparison operator from the instruction and examples: use `startsw
36,2.0,0.0,essential,,3,Text/numeric normalization prevents common mismatch errors.,- Create small helper functions for comparisons and numeric parsing. Normalize t
37,1.667,0.471,essential,,3,Date normalization is a frequent failure point handled here.,"- Normalize date keys deliberately: handle `datetime`/`date` objects, Excel seri"
38,1.0,0.0,useful,37,3,Period label canonicalization helps summary grids.,"- For monthly or period summary grids, canonicalize period labels from all sourc"
39,1.333,0.471,useful,,3,Inclusivity of date ranges is a common exact-value pitfall.,"- For date ranges and rolling windows, infer endpoint inclusivity from wording a"
40,1.0,0.0,useful,,3,Time value handling guidance is helpful for time tasks.,"- For time extraction or time-threshold logic, parse `datetime`, `time`, Excel s"
41,1.0,0.0,useful,,3,Composite keys and order preservation guidance.,"- For joins, deduplication, grouping, interval lookups, lookup grids, and ordere"
42,1.0,0.0,useful,,3,Two-pass approach and sentinel handling useful.,"- For outputs that depend on other rows or lookup grids, make a first pass to bu"
43,1.667,0.471,essential,36,3,Key normalization overlaps unit 36 but adds ID handling.,"- For lookups, filters, joins, and label/header matching, normalize comparison k"
44,2.0,0.0,essential,,3,Clear only target range and preserve formatting is core requirement.,"- When replacing a generated output area, clear only the instructed target range"
45,1.0,0.0,useful,,3,Formatting-change guidance including ARGB conversion.,"- If the instruction includes formatting changes, apply them exactly after writi"
46,2.0,0.0,essential,,3,Avoiding structural changes protects preservation grading.,"- When the instruction names a destination range or columns, write derived resul"
47,1.0,0.0,useful,44,3,Detailed write/clear/template-row guidance for lists.,"- For filtered lists, summaries, and aggregations, first collect all source reco"
48,1.667,0.471,essential,,3,Blank vs placeholder distinction affects exact-value checks.,- Preserve intended blanks as empty cells (`None`) rather than placeholder text 
49,2.0,0.0,essential,,3,0 vs blank for no-match is a frequent correctness distinction.,"- For numeric aggregation, crosstab, SUMIFS-like, and INDEX/MATCH-style summary "
50,1.0,0.0,useful,,3,"Blank-sensitive logic with data_only, mostly reinforces prior.","- For blank-sensitive logic such as “if input is blank, output blank,” evaluate "
51,0.0,0.0,neutral,,3,Section header.,## Robustness for Simple Fill Tasks
52,1.0,0.0,useful,,3,Prefer simple loops and run once to catch errors.,"- Prefer simple, auditable row/column loops over complex workbook XML parsing un"
53,1.0,0.0,useful,20,3,Repeats compute-values-not-formulas from unit 20.,"<!-- SLOW_UPDATE_START --> When the user asks for a formula, macro, VBA code, or"
54,2.0,0.0,essential,,3,Post-write verification of literals catches unwritten cells.,"After writing, reload or inspect the saved workbook and verify that every reques"
55,1.0,0.0,useful,21,3,Overlaps unit 21 on using formulas as specs.,"Use existing formulas in the workbook as examples/specifications, not as output."
56,1.0,0.0,useful,50,3,"Blank-sensitive branch guidance, overlaps unit 50.","For blank-sensitive formula tasks, compute the branch explicitly: if the driving"
57,1.0,0.0,useful,,3,Lookup/category fill-all-rows guidance is helpful.,"For lookup/category tasks, locate both the input rows and the lookup table by he"
58,1.0,0.0,useful,,3,Handles nth-row/OFFSET tasks specifically.,"For “every nth row” or OFFSET-style tasks, infer the source column, first source"
59,1.0,0.0,useful,,3,Schedule/calendar fill pattern for a niche task type.,"For schedule/calendar fill tasks, build a cycle-day-to-periods mapping from the "
60,1.0,0.0,useful,,3,Multi-key INDEX/MATCH fix common in these tasks.,"For INDEX/MATCH problems where the first row works but subsequent rows fail, tre"
61,1.0,0.0,useful,,3,Reminds to implement all steps in multi-step requests.,"For multi-step macro/VBA-style requests, implement every stated operation in the"
62,2.0,0.0,essential,,3,Special rows like Total must not get ordinary logic—key correctness.,"When a target range includes special rows such as `Total`, `Grand Total`, `min`,"
63,0.0,0.0,neutral,,3,Very niche residual-balancing recipe unlikely to generalize.,"For residual-balancing tasks, identify data rows separately from min/max constra"
64,0.333,0.471,neutral,62,3,"Narrow time-threshold summary case, limited applicability.","For time-threshold rows, decide per row whether it is a normal data row or a sum"
65,1.0,0.0,useful,52,3,"Run and fix errors, overlaps unit 52.",Keep scripts simple enough to run cleanly. Avoid unnecessary dynamic code genera
66,0.0,0.0,neutral,,3,Content-filter caution rarely affects task success.,If workbook cells contain arbitrary sample text that could be sensitive or trigg
