unit,score_mean,score_std,label,redundant_with,n_runs,reason,text
0,0.0,0.0,neutral,,3,Title header with no actionable content.,# Spreadsheet Manipulation Skill (xlsx)
1,0.0,0.0,neutral,,3,Section header with no content.,## Overview
2,0.0,0.0,neutral,3,3,Restates purpose already implied elsewhere.,This skill guides agents in manipulating Excel (.xlsx) spreadsheets using Python
3,1.0,0.0,useful,,3,"Restricts library use, avoiding disallowed dependencies.","**Primary libraries**: `openpyxl` (structure-preserving read/write), `pandas` (d"
4,0.0,0.0,neutral,,3,Divider with no content.,---
5,0.0,0.0,neutral,,3,Section header only.,## Common Workflow
6,1.0,0.0,useful,,3,Establishes essential explore-first workflow.,"1. **Explore** the input file: list sheets, inspect headers, check dimensions."
7,1.0,0.0,useful,,3,Encourages inspecting reference/example tabs for correct output.,"- Inspect actual workbook data beyond the preview, including nearby rows/columns"
8,1.0,0.0,useful,,3,Guides using filled cells as format examples while recomputing full range.,- Treat existing filled cells in the requested output area or adjacent example t
9,1.0,0.0,useful,10,3,"Warns tables may not start at row 1, avoiding location errors.","- Scan the used range for complete header groups, not just row 1. Tables may sta"
10,1.0,0.0,useful,,3,Header-based locating prevents fixed-coordinate mistakes.,"- Locate tables, fields, and target ranges by header text, nearby labels, and su"
11,1.0,0.0,useful,,3,Defines path variables convention used throughout.,2. **Write `solution.py`** with `INPUT_PATH` and `OUTPUT_PATH` defined at the to
12,0.667,0.471,useful,52,3,Reminds to execute and verify output creation.,3. **Execute** `python solution.py` and verify the output file was created.
13,0.333,0.471,neutral,54,3,Confirmation step duplicated by stronger verification units.,4. **Confirm** the target cells/range contain the expected values.
14,0.0,0.0,neutral,,3,Divider only.,---
15,0.0,0.0,neutral,16,3,Section header only.,## Library Selection
16,1.0,0.0,useful,,3,Library selection table guides tool choice.,"| Use case | Library | |----------|---------| | Preserve formulas, formatting, n"
17,2.0,0.0,essential,,3,Critical warning that pandas destroys formulas.,**Warning**: `pandas.to_excel()` silently destroys existing formulas and named r
18,2.0,0.0,essential,,3,Core guidance to compute values and use data_only for cached reads.,**Formula evaluation caution**: `openpyxl` can write formulas but does **not** c
19,1.0,0.0,useful,18,3,Concrete code example for dual-workbook pattern.,```python wb = openpyxl.load_workbook(INPUT_PATH) wb_values = openpyxl.load_work
20,1.0,0.0,useful,53,3,Instructs treating formula/macro wording as logic to compute.,"Treat wording such as “write/fix a formula,” “SUMIFS/COUNTIFS,” “VBA,” or “macro"
21,1.0,0.0,useful,55,3,Use given formula as spec for referenced ranges.,"When the user provides an existing or broken formula, use it as a semantic speci"
22,0.0,0.0,neutral,,3,Divider only.,---
23,0.0,0.0,neutral,,3,Section header only.,## solution.py Template
24,0.667,0.471,useful,26,3,"Template import lines, minor value.",```python import openpyxl import pandas as pd
25,1.0,0.0,useful,11,3,Shows path variable placeholders.,"INPUT_PATH = ""..."" # set to the actual input path OUTPUT_PATH = ""..."" # set to t"
26,1.0,0.0,useful,,3,Shows workbook loading pattern.,"wb = openpyxl.load_workbook(INPUT_PATH) ws = wb.active # or wb[""SheetName""]"
27,0.0,0.0,neutral,,3,Placeholder comment.,# --- perform manipulation ---
28,1.0,0.0,useful,31,3,Shows save step in template.,wb.save(OUTPUT_PATH) ```
29,0.0,0.0,neutral,,3,Divider only.,---
30,0.0,0.0,neutral,31,3,Section header only.,## Output Requirements
31,1.0,0.0,useful,28,3,Reinforces saving to output path.,- Save the result to `OUTPUT_PATH`.
32,1.0,0.0,useful,,3,"Warns against hardcoding, promoting robust iteration.",- Do not hardcode row counts or column letters — iterate over actual rows in the
33,2.0,0.0,essential,,3,Preserving unrelated cells is a key scoring requirement.,- Preserve sheets and cells not mentioned in the instruction.
34,0.0,0.0,neutral,,3,Section header only.,## Matching and Target Range Hygiene
35,1.0,0.0,useful,,3,Guides choosing correct match operator from wording.,- Choose the comparison operator from the instruction and examples: use `startsw
36,1.0,0.0,useful,,3,Normalization and numeric parsing prevent match errors.,- Create small helper functions for comparisons and numeric parsing. Normalize t
37,1.0,0.0,useful,,3,Date normalization guidance for date-based tasks.,"- Normalize date keys deliberately: handle `datetime`/`date` objects, Excel seri"
38,1.0,0.0,useful,,3,Period label canonicalization for summary grids.,"- For monthly or period summary grids, canonicalize period labels from all sourc"
39,1.0,0.0,useful,,3,Inclusivity inference avoids off-by-one range errors.,"- For date ranges and rolling windows, infer endpoint inclusivity from wording a"
40,1.0,0.0,useful,,3,Time value handling with proper formats.,"- For time extraction or time-threshold logic, parse `datetime`, `time`, Excel s"
41,1.0,0.0,useful,,3,Key-building guidance for joins/grouping.,"- For joins, deduplication, grouping, interval lookups, lookup grids, and ordere"
42,1.0,0.0,useful,,3,Two-pass approach for cross-row lookups.,"- For outputs that depend on other rows or lookup grids, make a first pass to bu"
43,1.0,0.0,useful,36,3,"Consistent key normalization for lookups, some overlap.","- For lookups, filters, joins, and label/header matching, normalize comparison k"
44,1.0,0.0,useful,,3,Clear only target range while preserving formatting.,"- When replacing a generated output area, clear only the instructed target range"
45,1.0,0.0,useful,,3,Applies formatting exactly with ARGB conversion detail.,"- If the instruction includes formatting changes, apply them exactly after writi"
46,1.0,0.0,useful,,3,Prevents unwanted structural changes to source.,"- When the instruction names a destination range or columns, write derived resul"
47,1.0,0.0,useful,,3,Collect-then-write with clearing leftover cells.,"- For filtered lists, summaries, and aggregations, first collect all source reco"
48,1.0,0.0,useful,,3,"Preserve blanks as None, avoiding value mismatches.",- Preserve intended blanks as empty cells (`None`) rather than placeholder text 
49,1.0,0.0,useful,,3,Missing-match behavior 0 vs blank distinction is important.,"- For numeric aggregation, crosstab, SUMIFS-like, and INDEX/MATCH-style summary "
50,1.0,0.0,useful,56,3,Blank-sensitive logic with data_only evaluation.,"- For blank-sensitive logic such as “if input is blank, output blank,” evaluate "
51,0.0,0.0,neutral,,3,Section header only.,## Robustness for Simple Fill Tasks
52,1.0,0.0,useful,65,3,Prefer simple loops and run script to verify.,"- Prefer simple, auditable row/column loops over complex workbook XML parsing un"
53,1.0,0.0,useful,20,3,Reiterates computing literal values for formula requests.,"<!-- SLOW_UPDATE_START --> When the user asks for a formula, macro, VBA code, or"
54,1.333,0.471,useful,,3,Reload-and-verify that target cells have literals is key check.,"After writing, reload or inspect the saved workbook and verify that every reques"
55,0.667,0.471,useful,21,3,Formulas as spec to compute; overlaps unit 21.,"Use existing formulas in the workbook as examples/specifications, not as output."
56,0.667,0.471,useful,50,3,Explicit branch for blank-sensitive formulas.,"For blank-sensitive formula tasks, compute the branch explicitly: if the driving"
57,1.0,0.0,useful,,3,Lookup task guidance to fill all destination rows.,"For lookup/category tasks, locate both the input rows and the lookup table by he"
58,1.0,0.0,useful,,3,Handles nth-row/OFFSET tasks with inferred step.,"For “every nth row” or OFFSET-style tasks, infer the source column, first source"
59,1.0,0.0,useful,,3,Schedule/calendar fill specific guidance.,"For schedule/calendar fill tasks, build a cycle-day-to-periods mapping from the "
60,1.0,0.0,useful,57,3,Multi-key INDEX/MATCH filling whole matrix.,"For INDEX/MATCH problems where the first row works but subsequent rows fail, tre"
61,1.0,0.0,useful,,3,Reminds to implement all steps in multi-step tasks.,"For multi-step macro/VBA-style requests, implement every stated operation in the"
62,1.0,0.0,useful,,3,Handle special total/constraint rows carefully.,"When a target range includes special rows such as `Total`, `Grand Total`, `min`,"
63,0.0,0.0,neutral,,3,Very niche residual-balancing case unlikely to generalize.,"For residual-balancing tasks, identify data rows separately from min/max constra"
64,0.0,0.0,neutral,62,3,Narrow time-threshold summary case overlapping unit 62.,"For time-threshold rows, decide per row whether it is a normal data row or a sum"
65,1.0,0.0,useful,52,3,Keep scripts simple and execute; overlaps unit 52.,Keep scripts simple enough to run cleanly. Avoid unnecessary dynamic code genera
66,0.0,0.0,neutral,,3,Content-filter caution rarely affects task success.,If workbook cells contain arbitrary sample text that could be sensitive or trigg
