unit,score_mean,score_std,label,redundant_with,n_runs,reason,text
0,0.0,0.0,neutral,,3,"Title, no actionable content.",# Spreadsheet Manipulation Skill (xlsx)
1,0.0,0.0,neutral,,3,Section header filler.,## Overview
2,0.0,0.0,redundant,0,3,Restates the obvious task.,This skill guides agents in manipulating Excel (.xlsx) spreadsheets using Python
3,1.0,0.0,useful,,3,Library restriction is a useful constraint.,"**Primary libraries**: `openpyxl` (structure-preserving read/write), `pandas` (d"
4,0.0,0.0,neutral,,3,"Divider, no content.",---
5,0.0,0.0,neutral,,3,Section header.,## Common Workflow
6,1.0,0.0,useful,,3,Explore step is basic good practice.,"1. **Explore** the input file: list sheets, inspect headers, check dimensions."
7,1.0,0.0,useful,,3,Inspecting example/reference tabs helps edge cases.,"- Inspect actual workbook data beyond the preview, including nearby rows/columns"
8,1.0,0.0,useful,,3,Warns to recompute full range not copy examples.,- Treat existing filled cells in the requested output area or adjacent example t
9,0.667,0.471,useful,10,3,Multi-table awareness helps locate targets.,"- Scan the used range for complete header groups, not just row 1. Tables may sta"
10,1.0,0.0,useful,,3,Header-based location avoids fixed coordinates.,"- Locate tables, fields, and target ranges by header text, nearby labels, and su"
11,1.0,0.0,useful,,3,"Defines path variables, standard convention.",2. **Write `solution.py`** with `INPUT_PATH` and `OUTPUT_PATH` defined at the to
12,0.667,0.471,useful,13,3,"Verify creation, overlaps confirmation step.",3. **Execute** `python solution.py` and verify the output file was created.
13,0.333,0.471,redundant,12,3,Confirm target values is good practice.,4. **Confirm** the target cells/range contain the expected values.
14,0.0,0.0,neutral,,3,Divider.,---
15,0.0,0.0,neutral,,3,Section header.,## Library Selection
16,0.667,0.471,useful,3,3,Library selection table is concise guidance.,"| Use case | Library | |----------|---------| | Preserve formulas, formatting, n"
17,1.333,0.471,useful,,3,Critical warning about pandas destroying formulas.,**Warning**: `pandas.to_excel()` silently destroys existing formulas and named r
18,2.0,0.0,essential,,3,Explains data_only for reading cached formula values.,**Formula evaluation caution**: `openpyxl` can write formulas but does **not** c
19,1.0,0.0,useful,18,3,Concrete code for dual-load pattern.,```python wb = openpyxl.load_workbook(INPUT_PATH) wb_values = openpyxl.load_work
20,1.333,0.471,useful,,3,Key guidance to write values not formulas for verification.,"Treat wording such as “write/fix a formula,” “SUMIFS/COUNTIFS,” “VBA,” or “macro"
21,1.0,0.0,useful,,3,Using given formula as spec is helpful.,"When the user provides an existing or broken formula, use it as a semantic speci"
22,0.0,0.0,neutral,,3,Divider.,---
23,0.0,0.0,neutral,,3,Section header.,## solution.py Template
