unit,chars,loo_delta,addone_delta,text
full,6440,,,(32 units)
empty,0,,,(no skill)
0,16,-0.005813953488372103,0.011627906976744207,# OfficeQA Skill
1,23,-0.04069767441860461,-0.0174418604651162,## Retrieval Discipline
2,307,-0.05232558139534882,-0.12209302325581389,"- When an external official time-series observation is needed, prefer the source's series/data-download/table page once identified. If exact-date or guessed-value searches return empty results, stop repeating them; broaden to the official series name/code plus `data` or `download` and use the table values."
3,261,-0.05232558139534882,-0.06395348837209297,"- Treat provided/oracle parsed pages as primary evidence: if they contain the relevant table and period, extract directly from them before searching elsewhere; search only for missing continuation pages, missing periods, or an official actual value not present."
4,84,0.0,-0.0174418604651162,- Start by narrowing to the most likely candidate file before reading long passages.
5,111,-0.023255813953488413,-0.023255813953488302,"- Prefer targeted search terms that name the exact entity, period, measure, or table concept from the question."
6,120,-0.023255813953488413,-0.0174418604651162,"- After a promising match, read only a small surrounding span and verify it matches the requested year, basis, and unit."
7,358,0.005813953488372103,-0.11627906976744184,"- If the requested date range extends beyond the provided/oracle page, first enumerate the required periods and verify that every period is present in evidence. Do not compute from a partial ledger or fill missing periods from memory; retrieve continuation pages, adjacent issues, or a later issue of the same table that contains the missing dates/revisions."
8,22,-0.023255813953488413,-0.06976744186046507,## Evidence Discipline
9,78,-0.01744186046511631,0.04651162790697683,- Extract the exact value from the retrieved text before doing any arithmetic.
10,103,-0.03488372093023262,-0.023255813953488302,"- Keep track of each operand's period, unit, and semantic role so nearby proxy values are not mixed in."
11,298,0.0,-0.05232558139534882,"- For Treasury financing narratives, label each amount by transaction role before calculating: offered amount, tenders/subscriptions received, tenders accepted, competitive/noncompetitive accepted, foreign or Government-account exchange tenders, refunding, and **new cash** are not interchangeable."
12,265,-0.03488372093023262,-0.11046511627906974,"- When converting currencies or scales, make a direction ledger first: source table unit, source currency, exchange-rate orientation (foreign currency per U.S. dollar means divide by the rate; U.S. dollars per foreign unit means multiply), and requested final unit."
13,274,0.005813953488372103,-0.0174418604651162,"- For tables, align values by row label and exact column header, not proximity alone; watch for continued or unlabeled columns, footnotes, adjacent amount-versus-percent columns, fiscal-year versus calendar-year sections, and repeated month rows under different year blocks."
14,106,-0.023255813953488413,-0.011627906976744096,"- If the question asks for a transformed or derived quantity, compute only after confirming every operand."
15,316,-0.03488372093023262,-0.023255813953488302,"- For derived comparisons, preserve the direction and sign implied by the wording: “change from A to B” means B minus A; “former than latter” means former minus latter; “share accounted for by X” means X divided by the stated total; paired “gap” questions require computing each within-row difference before ranking."
16,300,-0.023255813953488413,-0.3255813953488372,"- For statistical, regression, correlation, and growth-rate questions, write a formula ledger before calculating: confirm the exact series/endpoints, ordered vector, elapsed intervals, and requested convention such as continuously compounded rate, CAGR, Pearson correlation, or OLS index/year choice."
17,228,-0.05813953488372092,-0.09302325581395343,"- For multi-stage questions where one table determines the period/entity used in another lookup, freeze that derived key with evidence first, then retrieve the second measure only for that exact month/year/reporting date/entity."
18,246,-0.03488372093023262,-0.2267441860465116,"- For inclusive time-series ranges, make a period-by-period ledger covering every requested month/year exactly once, preserving calendar versus fiscal basis, end-of-month or end-of-fiscal-month status, source units, and any specified adjustments."
19,310,-0.01744186046511631,-0.05232558139534882,"- For statistical transforms over time-series windows, confirm endpoint inclusion/exclusion exactly as worded, use consecutive time indices for trend regressions when appropriate, sort values before medians, and for logarithmic growth use ln(final/initial) before converting to the requested percentage format."
20,26,-0.011627906976744207,0.011627906976744207,## Final Answer Discipline
21,237,-0.011627906976744207,0.08720930232558144,"- Before finalizing, enforce the requested unit and format: convert thousands/millions/billions or full nominal dollars as needed, then apply no-comma, fixed-decimal, whole-number, or nearest-tenth/thousandth formatting exactly as asked."
22,95,-0.029069767441860517,-0.029069767441860406,- Return the final answer only after one last consistency check against the retrieved evidence.
23,88,-0.07558139534883723,0.01744186046511631,"- Copy the final answer from a checked value, not from an unverified intermediate guess."
24,49,-0.04069767441860461,-0.005813953488372103,## Statistical and Time-Series Calculation Checks
25,567,-0.023255813953488413,-0.36627906976744184,"- Before computing any statistic, write the intended formula and denominator convention. If the prompt explicitly says **population standard deviation**, divide by `n`; if it says **sample**, divide by `n-1`; for a z-score comparing one observation against a small set of comparison months/periods and no population convention is stated, estimate dispersion with the **sample** standard deviation of the comparison set. Do not round intermediate operands, weighted averages, logs, exchange-rate conversions, or standard deviations before the final requested rounding."
26,314,-0.04069767441860461,-0.18023255813953487,"- For long inclusive ranges, first enumerate the expected count of observations and the first/last period, then verify the ledger has exactly that count. Exclude totals, cumulative-to-date columns, comparable-period columns, estimates, and extra latest-month columns outside the requested calendar or fiscal range."
27,268,-0.03488372093023262,-0.0174418604651162,"- When a page contains multiple nearby sections with similar labels, use only the section whose title and row label match the requested measure exactly; do not compute from the first visible table if the requested measure/table title is absent or only partially shown."
28,469,-0.04069767441860461,-0.06976744186046507,"- For Treasury security quotations, obey the table's quote basis. If the table states that price decimals are 32nds, convert quotes such as `99.27` as `99 + 27/32`, not as decimal `99.27`. If a task asks for smoothing, averaging, or forecasting in a target currency using period-specific exchange rates, convert each period's observation to the target currency first unless the prompt explicitly says to compute in the source currency and convert only the final result."
29,28,-0.03488372093023262,-0.0174418604651162,## Stricter Final Formatting
30,373,0.046511627906976716,0.17441860465116288,"- Match any requested output template exactly. Unless the prompt explicitly asks for unit words or explanatory text, return only the numeric value or requested list; do not append words such as `million`, `dollars`, `percent`, or `percentage points`. Include symbols/commas only when the prompt requests currency-formatted output or the answer format clearly requires them."
31,51,-0.046511627906976716,-0.0174418604651162,<!-- SLOW_UPDATE_START --> <!-- SLOW_UPDATE_END -->
